,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
qwen,0.997496485710144,0.999322772026062,0.9996062517166138,0.9692314863204956,0.9692498445510864,0.9690393209457397,0.9687143564224243,0.9687143564224243,0.9693519473075867,0.9997252821922302,1.0,0.9991421103477478,0.9998008012771606,0.9699352979660034,0.9686159491539001,0.9985080361366272,0.9685890078544617,0.9778623580932617,0.9691412448883057,0.9842215180397034
yi,0.9945024847984314,0.9974104762077332,0.9979419708251953,0.9610912203788757,0.9611243009567261,0.9608807563781738,0.9605087637901306,0.9605087637901306,0.9612418413162231,0.9984102249145508,0.9991421103477478,1.0,0.9995436668395996,0.9619362950325012,0.9603976011276245,0.9984005093574524,0.9603695273399353,0.9818378686904907,0.9609968662261963,0.9795393943786621
baichuan2,0.9968292117118835,0.9988679885864258,0.999259352684021,0.967250645160675,0.9672751426696777,0.967054545879364,0.9667157530784607,0.9667157530784607,0.9673828482627869,0.9994550943374634,0.9998008012771606,0.9995436668395996,1.0,0.96800297498703,0.9666140079498291,0.9986427426338196,0.9665873050689697,0.9791161417961121,0.9671605825424194,0.983222246170044
deepseek,0.9843930006027222,0.9768180251121521,0.9750136137008667,0.9999498724937439,0.9999670386314392,0.9999595880508423,0.9999381899833679,0.9999381899833679,0.9999648928642273,0.9733849763870239,0.9699352979660034,0.9619362950325012,0.96800297498703,1.0,0.9999299645423889,0.9629822373390198,0.9999322891235352,0.918645977973938,0.9999630451202393,0.991168200969696
internlm2,0.983466625213623,0.975591778755188,0.9738070964813232,0.9999963641166687,0.9999920725822449,0.9999959468841553,0.9999996423721313,0.9999996423721313,0.9999921321868896,0.9721361398696899,0.9686159491539001,0.9603976011276245,0.9666140079498291,0.9999299645423889,1.0,0.9611186981201172,0.9999998807907104,0.9149468541145325,0.999994158744812,0.9896200299263
falcon,0.9945589303970337,0.9978171586990356,0.9978905916213989,0.9618211388587952,0.9619212746620178,0.9616727232933044,0.9612496495246887,0.9612496495246887,0.9620102047920227,0.9981468319892883,0.9985080361366272,0.9984005093574524,0.9986427426338196,0.9629822373390198,0.9611186981201172,1.0,0.9610995054244995,0.9860364198684692,0.9617933034896851,0.9831972122192383
solar,0.9834466576576233,0.9755697846412659,0.9737827181816101,0.9999963045120239,0.9999924302101135,0.9999962449073792,0.9999997615814209,0.9999997615814209,0.9999925494194031,0.9721111059188843,0.9685890078544617,0.9603695273399353,0.9665873050689697,0.9999322891235352,0.9999998807907104,0.9610995054244995,1.0,0.9149506688117981,0.9999946355819702,0.9896356463432312
orca2,0.96626216173172,0.9744394421577454,0.9747651815414429,0.9160165786743164,0.9163700342178345,0.9159574508666992,0.9151920080184937,0.9151920080184937,0.9164537191390991,0.9758785963058472,0.9778623580932617,0.9818378686904907,0.9791161417961121,0.918645977973938,0.9149468541145325,0.9860364198684692,0.9149506688117981,1.0,0.9161517024040222,0.959885835647583
neuralchat,0.9838438034057617,0.9760712385177612,0.9742894768714905,0.9999984502792358,0.9999995827674866,0.9999998807907104,0.9999964237213135,0.9999964237213135,0.9999993443489075,0.9726340770721436,0.9691412448883057,0.9609968662261963,0.9671605825424194,0.9999630451202393,0.999994158744812,0.9617933034896851,0.9999946355819702,0.9161517024040222,1.0,0.9900926947593689
stablelm,0.9918136596679688,0.9887920618057251,0.9872359037399292,0.9899668097496033,0.9901702404022217,0.9900255799293518,0.9897212982177734,0.9897212982177734,0.9901701211929321,0.986322283744812,0.9842215180397034,0.9795393943786621,0.983222246170044,0.991168200969696,0.9896200299263,0.9831972122192383,0.9896356463432312,0.959885835647583,0.9900926947593689,1.0
